Novela;Ano
tempos modernos;2010
uma rosa com amor;2010
escrito nas estrelas;2010
passione;2010
ribeirão do tempo;2010
ti-ti-ti;2010
araguaia;2010
insensato coração;2011
rebelde;2011
morde e assopra;2011
amor e revolução;2011
cordel encantado;2011
vidas em jogo;2011
o astro;2011
fina estampa;2011
a vida da gente;2011
aquele beijo;2011
corações feridos;2012
amor eterno amor;2012
avenida brasil;2012
máscaras;2012
cheias de charme;2012
carrossel;2012
gabriela;2012
lado a lado;2012
guerra dos sexos;2012
balacobaco;2012
salve jorge;2012
flor do caribe;2013
sangue bom;2013
amor à vida;2013
dona xepa;2013
saramandaia;2013
chiquititas;2013
joia rara;2013
pecado mortal;2013
além do horizonte;2013
em família;2014
meu pedacinho de chão;2014
geração brasil;2014
vitória;2014
o rebu;2014
império;2014
boogie oogie;2014
alto astral;2014
sete vidas;2015
babilônia;2015
os dez mandamentos;2015
i love paraisópolis;2015
verdades secretas;2015
além do tempo;2015
cúmplices de um resgate;2015
a regra do jogo;2015
totalmente demais;2015
eta mundo bom!;2016
velho chico;2016
liberdade liberdade;2016
haja coração;2016
escrava-mãe;2016
a terra prometida;2016
sol nascente;2016
a lei do amor;2016
rock story;2016
carinha de anjo;2016
novo mundo;2017
a força do querer;2017
o rico e lázaro;2017
os dias eram assim;2017
pega pega;2017
belaventura;2017
tempo de amar;2017
o outro lado do paraíso;2017
apocalipse;2017
deus salve o rei;2018
orgulho e paixão;2018
onde nascem os fortes;2018
as aventuras de poliana;2018
segundo sol;2018
jesus;2018
o tempo não para;2018
espelho da vida;2018
o sétimo guardião;2018
verão 90;2019
órfãos da terra;2019
jezabel;2019
a dona do pedaço;2019
topíssima;2019
bom sucesso;2019
éramos seis;2019
amor de mãe;2019
amor sem igual;2019
salve-se quem puder;2020
gênesis;2021
nos tempos do imperador;2021
verdades secretas 2;2021
um lugar ao sol;2021
quanto mais vida, melhor!;2021
além da ilusão;2022
poliana moça;2022
reis;2022
pantanal;2022
cara e coragem;2022
mar do sertão;2022
travessia;2022
todas as flores;2022
vai na fé;2023
amor perfeito;2023
a infância de romeu e julieta;2023
terra e paixão;2023
fuzuê;2023
elas por elas;2023
renascer;2024
esplendor;2000
uga uga;2000
marcas da paixão;2000
laços de família;2000
o cravo e a rosa;2000
vidas cruzadas;2000
um anjo caiu do céu;2001
porto dos milagres;2001
estrela-guia;2001
roda da vida;2001
o direito de nascer;2001
a padroeira;2001
as filhas da mãe;2001
pícara sonhadora;2001
o clone;2001
amor e ódio;2001
desejos de mulher;2002
coração de estudante;2002
marisol;2002
esperança;2002
o beijo do vampiro;2002
sabor da paixão;2002
pequena travessa;2002
mulheres apaixonadas;2003
agora é que são elas;2003
jamais te esquecerei;2003
kubanacan;2003
chocolate com pimenta;2003
canavial de paixões;2003
celebridade;2003
da cor do pecado;2004
metamorphoses;2004
cabocla;2004
seus olhos;2004
senhora do destino;2004
começar de novo;2004
a escrava isaura;2004
como uma onda;2004
esmeralda;2004
américa;2005
floribella;2005
a lua me disse;2005
essas mulheres;2005
alma gêmea;2005
os ricos também choram;2005
bang bang;2005
prova de amor;2005
belíssima;2005
floribella 2006;2006
sinhá moça;2006
cidadão brasileiro;2006
cobras e lagartos;2006
cristal;2006
páginas da vida;2006
bicho do mato;2006
o profeta;2006
alta estação;2006
paixões proibidas;2006
pé na jaca;2006
vidas opostas;2006
paraíso tropical;2007
luz do sol;2007
maria esperança;2007
eterna magia;2007
sete pecados;2007
amigas e rivais;2007
os mutantes – caminhos do coração;2007
dance dance dance;2007
duas caras;2007
